seed,fold,model,model_label,SUBCLASS,f1
42,1,raw_cell_tfidf,Raw-cell Word TF-IDF,ACC,0.9019607843137255
42,1,raw_cell_tfidf,Raw-cell Word TF-IDF,BLCA,0.26229508196721313
42,1,raw_cell_tfidf,Raw-cell Word TF-IDF,BRCA,0.5461689587426326
42,1,raw_cell_tfidf,Raw-cell Word TF-IDF,CESC,0.0
42,1,raw_cell_tfidf,Raw-cell Word TF-IDF,COAD,0.6153846153846154
42,1,raw_cell_tfidf,Raw-cell Word TF-IDF,DLBC,0.4
42,1,raw_cell_tfidf,Raw-cell Word TF-IDF,GBMLGG,0.23140495867768596
42,1,raw_cell_tfidf,Raw-cell Word TF-IDF,HNSC,0.1875
42,1,raw_cell_tfidf,Raw-cell Word TF-IDF,KIPAN,0.12297734627831715
42,1,raw_cell_tfidf,Raw-cell Word TF-IDF,KIRC,0.10619469026548672
42,1,raw_cell_tfidf,Raw-cell Word TF-IDF,LAML,0.4485981308411215
42,1,raw_cell_tfidf,Raw-cell Word TF-IDF,LGG,0.3146067415730337
42,1,raw_cell_tfidf,Raw-cell Word TF-IDF,LIHC,0.21978021978021978
42,1,raw_cell_tfidf,Raw-cell Word TF-IDF,LUAD,0.15254237288135594
42,1,raw_cell_tfidf,Raw-cell Word TF-IDF,LUSC,0.21238938053097345
42,1,raw_cell_tfidf,Raw-cell Word TF-IDF,OV,0.2966507177033493
42,1,raw_cell_tfidf,Raw-cell Word TF-IDF,PAAD,0.10810810810810811
42,1,raw_cell_tfidf,Raw-cell Word TF-IDF,PCPG,0.28846153846153844
42,1,raw_cell_tfidf,Raw-cell Word TF-IDF,PRAD,0.25870646766169153
42,1,raw_cell_tfidf,Raw-cell Word TF-IDF,SARC,0.16793893129770993
42,1,raw_cell_tfidf,Raw-cell Word TF-IDF,SKCM,0.5538461538461539
42,1,raw_cell_tfidf,Raw-cell Word TF-IDF,STES,0.3416666666666667
42,1,raw_cell_tfidf,Raw-cell Word TF-IDF,TGCT,0.3333333333333333
42,1,raw_cell_tfidf,Raw-cell Word TF-IDF,THCA,0.6636771300448431
42,1,raw_cell_tfidf,Raw-cell Word TF-IDF,THYM,0.22784810126582278
42,1,raw_cell_tfidf,Raw-cell Word TF-IDF,UCEC,0.46715328467153283
42,1,split_event_tfidf,Split-event Word TF-IDF,ACC,0.92
42,1,split_event_tfidf,Split-event Word TF-IDF,BLCA,0.22580645161290322
42,1,split_event_tfidf,Split-event Word TF-IDF,BRCA,0.5317460317460317
42,1,split_event_tfidf,Split-event Word TF-IDF,CESC,0.024691358024691357
42,1,split_event_tfidf,Split-event Word TF-IDF,COAD,0.6447368421052632
42,1,split_event_tfidf,Split-event Word TF-IDF,DLBC,0.6666666666666666
42,1,split_event_tfidf,Split-event Word TF-IDF,GBMLGG,0.226890756302521
42,1,split_event_tfidf,Split-event Word TF-IDF,HNSC,0.2153846153846154
42,1,split_event_tfidf,Split-event Word TF-IDF,KIPAN,0.12987012987012986
42,1,split_event_tfidf,Split-event Word TF-IDF,KIRC,0.11504424778761062
42,1,split_event_tfidf,Split-event Word TF-IDF,LAML,0.4716981132075472
42,1,split_event_tfidf,Split-event Word TF-IDF,LGG,0.3146067415730337
42,1,split_event_tfidf,Split-event Word TF-IDF,LIHC,0.1956521739130435
42,1,split_event_tfidf,Split-event Word TF-IDF,LUAD,0.18487394957983194
42,1,split_event_tfidf,Split-event Word TF-IDF,LUSC,0.3025210084033613
42,1,split_event_tfidf,Split-event Word TF-IDF,OV,0.3238095238095238
42,1,split_event_tfidf,Split-event Word TF-IDF,PAAD,0.08333333333333333
42,1,split_event_tfidf,Split-event Word TF-IDF,PCPG,0.29411764705882354
42,1,split_event_tfidf,Split-event Word TF-IDF,PRAD,0.2926829268292683
42,1,split_event_tfidf,Split-event Word TF-IDF,SARC,0.1774193548387097
42,1,split_event_tfidf,Split-event Word TF-IDF,SKCM,0.5454545454545454
42,1,split_event_tfidf,Split-event Word TF-IDF,STES,0.32340425531914896
42,1,split_event_tfidf,Split-event Word TF-IDF,TGCT,0.3617021276595745
42,1,split_event_tfidf,Split-event Word TF-IDF,THCA,0.6666666666666666
42,1,split_event_tfidf,Split-event Word TF-IDF,THYM,0.23076923076923078
