SUBCLASS,raw_cell_f1,split_structural_f1,f1_delta
LUSC,0.25429814367867465,0.39469355443231297,0.14039541075363832
TGCT,0.3091068596686574,0.4397744666714274,0.13066760700276997
SKCM,0.5431269874480931,0.6523050855108167,0.1091780980627236
PRAD,0.2366058595909342,0.3429171366348152,0.10631127704388102
LIHC,0.16452530206888982,0.2624042624042624,0.09787896033537258
KIPAN,0.15369086145785174,0.22562418961605277,0.07193332815820103
COAD,0.6308136308136308,0.6955787482689905,0.06476511745535962
STES,0.3318243761742214,0.39655796860817777,0.06473359243395638
LUAD,0.17576655147825135,0.23878564025839433,0.06301908878014298
LAML,0.5051553011970824,0.560734994852642,0.05557969365555959
PCPG,0.3117888359823844,0.3618870539682714,0.05009821798588704
HNSC,0.2108254593175853,0.2576267476538346,0.046801288336249275
GBMLGG,0.2500511040531744,0.2951780473935223,0.04512694334034795
DLBC,0.3277777777777778,0.3690821256038647,0.04130434782608694
ACC,0.8692965460228886,0.8990376579029061,0.02974111188001749
OV,0.31410434621443795,0.3412892940432031,0.027184947828765127
SARC,0.13354357497859154,0.16040161082317445,0.026858035844582906
THCA,0.628846126981159,0.6527008235983814,0.023854696617222393
PAAD,0.13556413556413557,0.15890118112340335,0.02333704555926777
BRCA,0.5288865655964596,0.5498414093689338,0.02095484377247414
UCEC,0.4688971597568187,0.48979862215156333,0.020901462394744608
CESC,0.06421356421356421,0.08256013086930962,0.01834656665574541
THYM,0.27039381153305203,0.2871212121212121,0.01672740058816008
BLCA,0.24618907916155056,0.2518518518518518,0.005662772690301271
LGG,0.334875523243005,0.33340218014916806,-0.001473343093836954
KIRC,0.10824171577601797,0.1021725188391855,-0.006069196936832472
