,count,mean,std,min,25%,50%,75%,max
mutation_gene_count,6201.0,35.29962909208192,100.77637915217879,0.0,7.0,14.0,27.0,2393.0
mutation_gene_count_log1p,6201.0,2.755930945465398,1.1354004908210638,0.0,2.0794415416798357,2.70805020110221,3.332204510175204,7.780720886117918
mutation_gene_ratio,6201.0,0.008051922694361753,0.022987312762814505,0.0,0.0015967153284671533,0.0031934306569343066,0.0061587591240875915,0.5458485401459854
event_count,6201.0,41.14884696016772,189.80512315660204,0.0,7.0,14.0,28.0,9972.0
event_count_log1p,6201.0,2.7890150806380793,1.157352675704252,0.0,2.0794415416798357,2.70805020110221,3.367295829986474,9.207636720401869
events_per_mutated_gene,6201.0,1.0266425993494845,0.18814548888074725,0.0,1.0,1.0,1.0408163265306123,4.924444444444444
multi_event_gene_count,6201.0,3.552007740686986,38.17732285326619,0.0,0.0,0.0,1.0,2021.0
multi_event_gene_ratio,6201.0,0.035394865260601385,0.10838173866040807,0.0,0.0,0.0,0.038461538461538464,1.0
max_events_in_gene,6201.0,1.534752459280761,1.4926033138189752,0.0,1.0,1.0,2.0,64.0
missing_count,6201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_missing,6201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
position_parse_ratio,6201.0,0.9848411546524755,0.12219436430258034,0.0,1.0,1.0,1.0,1.0
position_mean,6201.0,547.2505312450357,250.81757417587468,0.0,413.25,534.0,645.28125,4060.0
position_max,6201.0,2397.031607805193,1783.0759708185356,0.0,1100.0,1931.0,3285.0,8784.0
type_SUB_count,6201.0,37.38042251249799,178.82532366642621,0.0,6.0,12.0,25.0,9628.0
type_SUB_ratio,6201.0,0.8696311741546243,0.17090295254592963,0.0,0.8333333333333334,0.9090909090909091,0.9814814814814815,1.0
type_DELINS_count,6201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
type_DELINS_ratio,6201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
type_FS_count,6201.0,1.5987743912272214,5.895839849410677,0.0,0.0,1.0,2.0,139.0
type_FS_ratio,6201.0,0.06437805433957813,0.11005380369845394,0.0,0.0,0.014705882352941176,0.09202453987730061,1.0
type_DEL_count,6201.0,0.0004837929366231253,0.0219917455965984,0.0,0.0,0.0,0.0,1.0
type_DEL_ratio,6201.0,1.0513919701681612e-05,0.0006804356857950727,0.0,0.0,0.0,0.0,0.05263157894736842
type_INS_count,6201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
type_INS_ratio,6201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
type_DUP_count,6201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
type_DUP_ratio,6201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
type_STOP_count,6201.0,2.169166263505886,11.328806734629108,0.0,0.0,1.0,2.0,337.0
type_STOP_ratio,6201.0,0.05082141223857136,0.08435131360784573,0.0,0.0,0.02564102564102564,0.07692307692307693,1.0
type_OTHER_count,6201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
type_OTHER_ratio,6201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
